first_name,second_name,club_name,position,now_cost,points_per_game,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
Conor,Bradley,Liverpool,Defender,5.0,4.5,50,752,1,3,3,7,1,0,0,2,0,0,7,211,230.4,215.8,160.0,60.6,10,0.91,1.24,2.15,7.47
Fábio,Freitas Gouveia Carvalho,Liverpool,Midfielder,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Bobby,Clark,Liverpool,Midfielder,4.5,1.0,5,86,0,0,0,0,0,0,0,0,0,0,0,7,11.6,5.3,19.0,3.6,1,0.14,0.01,0.15,1.75
Darwin,Núñez Ribeiro,Liverpool,Forward,7.5,3.7,132,2033,11,11,6,25,0,0,1,9,0,0,9,397,660.8,439.1,1223.0,232.4,22,16.23,4.37,20.60,25.33
Diogo,Teixeira da Silva,Liverpool,Midfielder,7.5,5.2,110,1141,10,7,5,11,0,0,0,1,1,0,7,328,483.8,290.2,639.0,141.4,14,5.24,1.75,6.99,15.21
Ben,Doak,Liverpool,Midfielder,4.5,1.0,1,13,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.8,0.0,0.1,0,0.00,0.00,0.00,0.14
Harvey,Elliott,Liverpool,Midfielder,5.5,2.8,96,1330,3,9,4,13,0,0,0,2,0,0,8,402,417.2,570.0,391.0,137.5,11,2.72,4.68,7.40,19.29
Endo,Wataru,Liverpool,Midfielder,5.0,1.6,47,1714,1,0,6,16,0,0,0,10,0,0,0,250,281.6,269.5,53.0,60.1,20,0.51,1.53,2.04,22.42
Cody,Gakpo,Liverpool,Forward,7.5,3.0,106,1633,8,5,5,20,0,0,0,1,0,0,12,409,521.4,348.2,708.0,157.1,17,9.07,2.71,11.78,23.90
Joe,Gomez,Liverpool,Defender,5.0,2.4,76,1772,0,2,7,19,0,0,0,5,0,0,2,390,316.0,338.3,119.0,77.7,17,1.02,1.07,2.09,27.08
