first_name,second_name,club_name,position,cost
Kenny,Tete,Fulham,Defender,4.5
Carlos Vinícius,Alves Morais,Fulham,Forward,5.0
Harry,Wilson,Fulham,Midfielder,5.5
Ali,Al-Hamadi,Ipswich,Forward,5.0
Elkan,Baggott,Ipswich,Defender,4.0
Nathan,Broadhead,Ipswich,Midfielder,5.0
Cameron,Burgess,Ipswich,Defender,4.0
Wes,Burns,Ipswich,Midfielder,5.0
Conor,Chaplin,Ipswich,Midfielder,5.5
Harry,Clarke,Ipswich,Defender,4.0
Leif,Davis,Ipswich,Defender,4.5
Liam,Delap,Ipswich,Forward,5.5
George,Edmundson,Ipswich,Defender,4.0
Jacob,Greaves,Ipswich,Defender,4.0
Marcus,Myers-Harness,Ipswich,Midfielder,5.0
George,Hirst,Ipswich,Forward,5.5
Cameron,Humphreys,Ipswich,Midfielder,4.5
Omari,Giraud-Hutchinson,Ipswich,Midfielder,5.5
Ben,Johnson,Ipswich,Defender,4.0
Freddie,Ladapo,Ipswich,Forward,4.5
Massimo,Luongo,Ipswich,Midfielder,4.5
Sam,Morsy,Ipswich,Midfielder,5.0
Corrie,Ndaba,Ipswich,Defender,4.0
Cieran,Slicker,Ipswich,Goalkeeper,4.0
Jack,Taylor,Ipswich,Midfielder,5.0
Axel,Tuanzebe,Ipswich,Defender,4.0
Christian,Walton,Ipswich,Goalkeeper,4.5
Luke,Woolfenden,Ipswich,Defender,4.0
Arijanet,Muric,Ipswich,Goalkeeper,4.5
Boubakary,Soumaré,Leicester,Midfielder,4.5
Tom,Cannon,Leicester,Forward,4.5
Hamza,Choudhury,Leicester,Midfielder,4.5
Conor,Coady,Leicester,Defender,4.0
Patson,Daka,Leicester,Forward,5.0
Bobby,De Cordova-Reid,Leicester,Midfielder,5.5
Wout,Faes,Leicester,Defender,4.0
Michael,Golding,Leicester,Midfielder,4.5
Mads,Hermansen,Leicester,Goalkeeper,4.5
Daniel,Iversen,Leicester,Goalkeeper,4.0
James,Justin,Leicester,Defender,4.5
Victor,Kristiansen,Leicester,Defender,4.5
Wanya,Marçal-Madivádua,Leicester,Midfielder,4.5
Stephy,Mavididi,Leicester,Midfielder,5.5
Kasey,McAteer,Leicester,Midfielder,5.0
Wilfred,Ndidi,Leicester,Midfielder,5.0
Caleb,Okoli,Leicester,Defender,4.0
Ricardo,Barbosa Pereira,Leicester,Defender,4.5
Harry,Souttar,Leicester,Defender,4.0
Jakub,Stolarczyk,Leicester,Goalkeeper,4.0
Luke,Thomas,Leicester,Defender,4.0
Jamie,Vardy,Leicester,Forward,5.5
Jannik,Vestergaard,Leicester,Defender,4.0
Danny,Ward,Leicester,Goalkeeper,4.0
Harry,Winks,Leicester,Midfielder,4.5
Abdul,Fatawu,Leicester,Midfielder,5.5
Alisson,Ramses Becker,Liverpool,Goalkeeper,5.5
Trent,Alexander-Arnold,Liverpool,Defender,7.0
Stefan,Bajčetić Maquieira,Liverpool,Midfielder,4.5
Conor,Bradley,Liverpool,Defender,5.0
Fábio,Freitas Gouveia Carvalho,Liverpool,Midfielder,5.0
Bobby,Clark,Liverpool,Midfielder,4.5
Darwin,Núñez Ribeiro,Liverpool,Forward,7.5
Diogo,Teixeira da Silva,Liverpool,Midfielder,7.5
Ben,Doak,Liverpool,Midfielder,4.5
Harvey,Elliott,Liverpool,Midfielder,5.5
Endo,Wataru,Liverpool,Midfielder,5.0
Cody,Gakpo,Liverpool,Forward,7.5
Joe,Gomez,Liverpool,Defender,5.0
Ryan,Gravenberch,Liverpool,Midfielder,5.0
Curtis,Jones,Liverpool,Midfielder,5.5
